Episode,Win Rate (%),Wins,Losses,Left Click Avg (c/g),Right Click Avg (c/g),Total Click Avg (c/g)
75,5.33,4,71,8.35,11.35,19.69
76,5.26,4,72,8.3,11.25,19.55
77,5.19,4,73,8.25,11.17,19.42
78,5.13,4,74,8.19,11.12,19.31
79,5.06,4,75,8.15,11.05,19.2
80,5.0,4,76,8.15,11.18,19.32
81,4.94,4,77,8.15,11.16,19.31
82,4.88,4,78,8.18,11.24,19.43
83,4.82,4,79,8.19,11.23,19.42
84,4.76,4,80,8.23,11.21,19.44
85,4.71,4,81,8.24,11.16,19.4
86,4.65,4,82,8.22,11.27,19.49
87,4.6,4,83,8.28,11.49,19.77
88,4.55,4,84,8.27,11.51,19.78
89,4.49,4,85,8.27,11.56,19.83
90,4.44,4,86,8.24,11.51,19.76
91,4.4,4,87,8.23,11.46,19.69
92,4.35,4,88,8.25,11.57,19.82
93,4.3,4,89,8.24,11.52,19.75
94,4.26,4,90,8.22,11.49,19.71
95,5.26,5,90,8.18,11.42,19.6
96,5.21,5,91,8.16,11.43,19.58
97,5.15,5,92,8.21,11.63,19.84
98,5.1,5,93,8.18,11.58,19.77
99,5.05,5,94,8.24,11.83,20.07
100,5.0,5,95,8.22,11.96,20.18
101,4.95,5,96,8.24,11.93,20.17
102,4.9,5,97,8.22,11.84,20.06
103,4.85,5,98,8.19,11.87,20.07
104,5.77,6,98,8.16,11.81,19.97
105,6.67,7,98,8.14,11.82,19.96
106,6.6,7,99,8.14,11.83,19.97
107,6.54,7,100,8.13,11.96,20.09
108,6.48,7,101,8.14,11.94,20.08
109,6.42,7,102,8.11,11.88,19.99
110,6.36,7,103,8.12,11.94,20.05
111,6.31,7,104,8.12,11.93,20.05
112,6.25,7,105,8.11,11.84,19.95
113,6.19,7,106,8.12,11.88,20.0
114,6.14,7,107,8.1,11.78,19.88
115,6.09,7,108,8.09,11.7,19.79
116,6.03,7,109,8.09,11.64,19.73
117,6.84,8,109,8.03,11.54,19.57
118,6.78,8,110,8.03,11.71,19.74
119,6.72,8,111,8.0,11.64,19.64
120,6.67,8,112,7.98,11.62,19.6
121,6.61,8,113,7.97,11.64,19.61
122,6.56,8,114,7.96,11.88,19.84
123,6.5,8,115,7.98,12.01,19.98
124,6.45,8,116,7.98,12.12,20.1
125,6.4,8,117,7.96,12.12,20.08
126,6.35,8,118,7.94,12.08,20.02
127,7.09,9,118,7.92,12.14,20.06
128,7.03,9,119,7.92,12.09,20.01
129,6.98,9,120,7.9,11.99,19.89
130,6.92,9,121,7.9,11.94,19.84
131,6.87,9,122,7.92,11.94,19.86
132,6.82,9,123,7.92,11.93,19.85
133,6.77,9,124,7.93,11.92,19.85
134,6.72,9,125,7.94,11.9,19.84
135,6.67,9,126,7.93,11.85,19.79
136,6.62,9,127,7.95,11.85,19.8
137,6.57,9,128,7.93,11.92,19.85
138,6.52,9,129,7.91,11.88,19.78
139,6.47,9,130,7.93,11.82,19.75
140,6.43,9,131,7.94,11.77,19.71
141,6.38,9,132,7.98,11.94,19.91
142,6.34,9,133,8.03,11.97,20.0
143,6.29,9,134,8.0,11.92,19.92
144,6.25,9,135,8.01,11.93,19.94
145,6.9,10,135,8.0,11.88,19.88
146,6.85,10,136,8.01,11.89,19.9
147,6.8,10,137,8.0,11.84,19.84
148,6.76,10,138,7.99,11.89,19.89
149,6.71,10,139,8.03,11.87,19.9
150,6.67,10,140,8.01,11.84,19.85
151,6.62,10,141,8.05,11.85,19.9
152,6.58,10,142,8.09,11.95,20.03
153,6.54,10,143,8.06,11.97,20.03
154,6.49,10,144,8.1,12.17,20.27
155,6.45,10,145,8.08,12.12,20.21
156,6.41,10,146,8.1,12.17,20.26
157,7.01,11,146,8.09,12.2,20.29
158,6.96,11,147,8.09,12.28,20.37
159,6.92,11,148,8.11,12.28,20.39
160,6.88,11,149,8.13,12.23,20.36
161,6.83,11,150,8.12,12.16,20.28
162,6.79,11,151,8.12,12.31,20.43
163,6.75,11,152,8.1,12.28,20.37
164,6.71,11,153,8.09,12.33,20.42
165,6.67,11,154,8.09,12.32,20.41
166,6.63,11,155,8.08,12.33,20.41
167,6.59,11,156,8.1,12.55,20.65
168,6.55,11,157,8.14,12.61,20.75
169,6.51,11,158,8.14,12.54,20.69
170,7.06,12,158,8.14,12.74,20.87
171,7.02,12,159,8.12,12.67,20.78
172,6.98,12,160,8.2,12.78,20.98
173,6.94,12,161,8.23,12.86,21.09
174,6.9,12,162,8.25,12.95,21.2
175,6.86,12,163,8.23,12.91,21.15
176,6.82,12,164,8.23,12.92,21.15
177,6.78,12,165,8.24,12.96,21.2
178,6.74,12,166,8.25,12.92,21.17
179,6.7,12,167,8.24,12.88,21.12
180,6.67,12,168,8.26,12.91,21.17
181,6.63,12,169,8.28,12.91,21.18
182,6.59,12,170,8.25,12.85,21.1
183,7.1,13,170,8.22,12.78,20.99
184,7.07,13,171,8.2,12.74,20.93
185,7.03,13,172,8.18,12.69,20.86
186,6.99,13,173,8.18,12.74,20.92
187,6.95,13,174,8.17,12.67,20.84
188,6.91,13,175,8.16,12.66,20.82
189,6.88,13,176,8.16,12.7,20.86
190,6.84,13,177,8.14,12.68,20.82
191,6.81,13,178,8.15,12.64,20.79
192,6.77,13,179,8.16,12.6,20.76
193,6.74,13,180,8.16,12.55,20.72
194,6.7,13,181,8.16,12.56,20.73
195,7.18,14,181,8.19,12.52,20.71
196,7.14,14,182,8.18,12.48,20.67
197,7.11,14,183,8.18,12.46,20.64
198,7.07,14,184,8.23,12.45,20.68
199,7.04,14,185,8.23,12.43,20.66
200,7.0,14,186,8.27,12.38,20.64
201,7.46,15,186,8.24,12.33,20.57
202,7.43,15,187,8.22,12.33,20.55
203,7.39,15,188,8.24,12.31,20.54
204,7.35,15,189,8.25,12.26,20.52
205,7.32,15,190,8.25,12.25,20.5
206,7.28,15,191,8.23,12.23,20.46
207,7.25,15,192,8.26,12.42,20.68
208,7.21,15,193,8.25,12.42,20.66
209,7.18,15,194,8.24,12.44,20.67
210,7.14,15,195,8.27,12.47,20.74
211,7.11,15,196,8.26,12.49,20.75
212,7.08,15,197,8.28,12.58,20.87
213,7.04,15,198,8.29,12.54,20.83
214,7.48,16,198,8.29,12.55,20.84
215,7.44,16,199,8.29,12.55,20.84
216,7.41,16,200,8.31,12.61,20.91
217,7.37,16,201,8.3,12.62,20.92
218,7.8,17,201,8.29,12.64,20.93
219,7.76,17,202,8.28,12.6,20.89
220,7.73,17,203,8.29,12.58,20.87
221,7.69,17,204,8.3,12.67,20.97
222,7.66,17,205,8.32,12.73,21.06
223,7.62,17,206,8.33,12.78,21.11
224,7.59,17,207,8.32,12.74,21.06
225,7.56,17,208,8.32,12.88,21.19
226,7.52,17,209,8.34,12.93,21.27
227,7.93,18,209,8.32,12.9,21.22
228,8.33,19,209,8.29,12.85,21.14
229,8.73,20,209,8.27,12.79,21.06
230,8.7,20,210,8.27,12.82,21.1
231,8.66,20,211,8.31,12.87,21.18
232,8.62,20,212,8.3,12.86,21.16
233,8.58,20,213,8.29,12.97,21.25
234,8.55,20,214,8.28,13.11,21.39
235,8.51,20,215,8.27,13.19,21.46
236,8.47,20,216,8.27,13.22,21.49
237,8.44,20,217,8.27,13.28,21.55
238,8.4,20,218,8.25,13.26,21.52
239,8.37,20,219,8.28,13.45,21.72
240,8.33,20,220,8.28,13.61,21.89
241,8.3,20,221,8.29,13.71,21.99
242,8.26,20,222,8.31,13.83,22.14
243,8.23,20,223,8.3,13.91,22.21
244,8.2,20,224,8.29,14.04,22.32
245,8.16,20,225,8.28,14.07,22.36
246,8.13,20,226,8.27,14.07,22.33
247,8.1,20,227,8.26,14.1,22.36
248,8.06,20,228,8.26,14.27,22.53
249,8.03,20,229,8.27,14.34,22.61
250,8.0,20,230,8.28,14.52,22.8
251,7.97,20,231,8.27,14.52,22.78
252,7.94,20,232,8.27,14.58,22.85
253,7.91,20,233,8.28,14.75,23.03
254,7.87,20,234,8.31,14.91,23.23
255,7.84,20,235,8.31,15.02,23.33
256,7.81,20,236,8.32,15.13,23.45
257,7.78,20,237,8.32,15.16,23.47
258,7.75,20,238,8.31,15.28,23.59
259,7.72,20,239,8.31,15.41,23.71
260,7.69,20,240,8.33,15.42,23.75
261,7.66,20,241,8.33,15.57,23.9
262,7.63,20,242,8.32,15.64,23.96
263,7.98,21,242,8.3,15.58,23.88
264,7.95,21,243,8.29,15.55,23.84
265,7.92,21,244,8.29,15.61,23.9
266,7.89,21,245,8.28,15.6,23.88
267,7.87,21,246,8.3,15.77,24.07
268,7.84,21,247,8.29,15.76,24.05
269,7.81,21,248,8.28,15.81,24.09
270,7.78,21,249,8.29,15.9,24.19
271,7.75,21,250,8.3,15.97,24.27
272,7.72,21,251,8.3,15.94,24.25
273,7.69,21,252,8.29,15.98,24.26
274,7.66,21,253,8.28,16.0,24.28
275,7.64,21,254,8.28,15.96,24.24
276,7.61,21,255,8.27,16.0,24.26
277,7.58,21,256,8.27,15.95,24.22
278,7.55,21,257,8.27,15.9,24.18
279,7.53,21,258,8.29,15.85,24.14
280,7.5,21,259,8.29,15.83,24.12
281,7.47,21,260,8.3,15.91,24.21
282,7.45,21,261,8.29,15.96,24.25
283,7.42,21,262,8.28,16.0,24.28
284,7.39,21,263,8.28,15.98,24.26
285,7.37,21,264,8.28,15.99,24.27
286,7.34,21,265,8.27,15.95,24.23
287,7.32,21,266,8.29,16.07,24.36
288,7.29,21,267,8.31,16.13,24.44
289,7.27,21,268,8.32,16.25,24.57
290,7.24,21,269,8.34,16.44,24.78
291,7.22,21,270,8.33,16.47,24.8
292,7.19,21,271,8.31,16.47,24.78
293,7.17,21,272,8.32,16.54,24.86
294,7.14,21,273,8.32,16.63,24.95
295,7.12,21,274,8.32,16.72,25.04
296,7.09,21,275,8.3,16.71,25.01
297,7.07,21,276,8.31,16.72,25.03
298,7.05,21,277,8.33,16.75,25.07
299,7.02,21,278,8.32,16.72,25.04
300,7.0,21,279,8.32,16.88,25.2
