Episode,Win Rate (%),Wins,Losses,Left Click Avg (c/g),Right Click Avg (c/g),Total Click Avg (c/g)
202,10.4,21,181,8.76,13.3,22.06
203,10.34,21,182,8.77,13.42,22.19
204,10.78,22,182,8.76,13.42,22.18
205,10.73,22,183,8.78,13.4,22.19
206,10.68,22,184,8.79,13.5,22.28
207,10.63,22,185,8.77,13.44,22.21
208,10.58,22,186,8.75,13.39,22.14
209,10.53,22,187,8.77,13.52,22.28
210,10.48,22,188,8.75,13.46,22.21
211,10.43,22,189,8.77,13.92,22.69
212,10.85,23,189,8.76,14.07,22.83
213,10.8,23,190,8.77,14.14,22.91
214,10.75,23,191,8.78,14.27,23.05
215,10.7,23,192,8.8,14.41,23.21
216,10.65,23,193,8.84,14.62,23.46
217,10.6,23,194,8.82,14.58,23.4
218,10.55,23,195,8.8,14.57,23.37
219,10.5,23,196,8.79,14.51,23.3
220,10.45,23,197,8.8,14.53,23.32
221,10.41,23,198,8.81,14.62,23.43
222,10.36,23,199,8.83,14.73,23.56
223,10.31,23,200,8.83,14.81,23.64
224,10.27,23,201,8.83,14.85,23.69
225,10.22,23,202,8.85,14.85,23.7
226,10.18,23,203,8.83,14.81,23.64
227,10.13,23,204,8.83,14.79,23.62
228,10.09,23,205,8.83,14.98,23.82
229,10.04,23,206,8.83,14.92,23.76
230,10.0,23,207,8.83,15.06,23.88
231,9.96,23,208,8.87,15.38,24.25
232,9.91,23,209,8.87,15.32,24.19
233,9.87,23,210,8.86,15.32,24.18
234,9.83,23,211,8.85,15.45,24.3
235,9.79,23,212,8.87,15.6,24.47
236,9.75,23,213,8.86,15.6,24.46
237,9.7,23,214,8.86,15.57,24.43
238,9.66,23,215,8.86,15.64,24.5
239,9.62,23,216,8.86,15.77,24.62
240,9.58,23,217,8.88,15.75,24.63
241,9.54,23,218,8.88,15.91,24.79
242,9.5,23,219,8.88,15.96,24.84
243,9.47,23,220,8.87,15.94,24.81
244,9.43,23,221,8.87,15.89,24.76
245,9.39,23,222,8.86,15.89,24.75
246,9.35,23,223,8.88,15.83,24.71
247,9.31,23,224,8.88,15.78,24.66
248,9.27,23,225,8.87,15.72,24.59
249,9.24,23,226,8.87,15.69,24.56
250,9.2,23,227,8.88,15.84,24.72
251,9.56,24,227,8.88,15.86,24.74
252,9.52,24,228,8.87,15.83,24.7
253,9.49,24,229,8.89,15.94,24.83
254,9.45,24,230,8.89,15.91,24.8
255,9.8,25,230,8.89,16.2,25.09
256,9.77,25,231,8.88,16.16,25.03
257,9.73,25,232,8.87,16.32,25.19
258,9.69,25,233,8.87,16.4,25.26
259,9.65,25,234,8.87,16.56,25.43
260,9.62,25,235,8.87,16.63,25.5
261,9.58,25,236,8.87,16.78,25.66
262,9.54,25,237,8.85,16.73,25.59
263,9.89,26,237,8.85,16.79,25.64
264,9.85,26,238,8.85,16.82,25.67
265,9.81,26,239,8.85,16.92,25.77
266,10.15,27,239,8.87,17.03,25.91
267,10.11,27,240,8.87,17.01,25.88
268,10.07,27,241,8.86,16.95,25.81
269,10.04,27,242,8.87,17.23,26.1
270,10.0,27,243,8.85,17.33,26.18
271,9.96,27,244,8.85,17.27,26.11
272,9.93,27,245,8.84,17.21,26.05
273,9.89,27,246,8.88,17.65,26.53
274,9.85,27,247,8.87,17.59,26.46
275,9.82,27,248,8.87,17.64,26.51
276,9.78,27,249,8.89,17.69,26.58
277,9.75,27,250,8.88,17.78,26.66
278,9.71,27,251,8.89,17.79,26.69
279,9.68,27,252,8.89,17.78,26.67
280,9.64,27,253,8.9,17.72,26.62
281,9.61,27,254,8.93,17.73,26.65
282,9.57,27,255,8.94,17.88,26.82
283,9.54,27,256,8.95,17.88,26.84
284,9.51,27,257,8.98,17.94,26.92
285,9.47,27,258,9.0,17.95,26.94
286,9.44,27,259,9.0,18.27,27.27
287,9.41,27,260,9.0,18.24,27.23
288,9.38,27,261,8.99,18.35,27.34
289,9.34,27,262,8.99,18.42,27.41
290,9.31,27,263,8.98,18.51,27.49
291,9.28,27,264,8.97,18.53,27.5
292,9.25,27,265,8.96,18.47,27.42
293,9.22,27,266,8.96,18.87,27.82
294,9.18,27,267,8.95,18.94,27.88
295,9.15,27,268,8.95,18.91,27.85
296,9.12,27,269,8.94,18.9,27.83
297,9.09,27,270,8.94,19.0,27.93
298,9.06,27,271,8.92,18.93,27.85
299,9.03,27,272,8.91,18.87,27.78
300,9.0,27,273,8.92,18.99,27.91
